States,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Hate Group Count,Per Capita Hate Group,GRADE number
Montana,1.0,0.0,30,1014699.0,39.7,47169.0,26381.0,150586.0,14.840460077323423,32361.0,3.1892216312423685,47.0527,-109.6333,0.985513930732168,6.0,0.5913083584393007,5.5
Nebraska,3.0,0.0,31,1869365.0,36.2,52997.0,27882.0,231115.0,12.363289138290275,47602.0,2.5464261928515834,41.5378,-99.7951,1.6048230281405718,5.0,0.26747050469009526,4.5
Nevada,1.0,17.0,32,2798636.0,37.2,51847.0,26541.0,426337.0,15.233742437387356,148467.0,5.304977138863361,39.3289,-116.6312,0.35731692152891625,4.0,0.1429267686115665,5.5
New Hampshire,0.0,0.0,33,1324201.0,42.2,66779.0,34362.0,113840.0,8.596882195376685,42733.0,3.2270780644328165,43.6805,-71.5811,0.0,6.0,0.45310341858977604,4.5
New Jersey,9.0,29.0,34,8904413.0,39.4,72093.0,36582.0,944847.0,10.610997041579271,413343.0,4.642001668161618,40.1907,-74.6728,1.0107347895925314,21.0,0.2358381175715906,0.5
New Mexico,2.0,4.0,35,2084117.0,37.0,44963.0,24012.0,429361.0,20.601578510227593,88924.0,4.266747020440791,34.4071,-106.1126,0.9596390221854146,3.0,0.1439458533278122,5.5
New York,21.0,60.0,36,19673174.0,38.1,59269.0,33236.0,3005943.0,15.279400263526364,829141.0,4.214576661600208,42.9538,-75.5268,1.067443413045602,44.0,0.2236548103524119,0.5
North Carolina,12.0,14.0,37,9845333.0,38.0,46868.0,25920.0,1667465.0,16.936603363238195,453420.0,4.605430816814423,35.5557,-79.3877,1.2188516122308914,29.0,0.29455580628913214,5.5
North Dakota,0.0,0.0,38,721640.0,35.4,57181.0,32035.0,79758.0,11.052325259131978,11464.0,1.588603735934815,47.4501,-100.4659,0.0,2.0,0.27714649963970955,5.5
Ohio,14.0,33.0,39,11575977.0,39.2,49429.0,26953.0,1775836.0,15.34070083242218,477251.0,4.122770803708404,40.2862,-82.7937,1.2094011589691307,34.0,0.2937117100353603,4.5
Oklahoma,5.0,11.0,40,3849733.0,36.2,46879.0,25032.0,624043.0,16.21003326724217,115978.0,3.012624511881733,35.5889,-97.4943,1.2987913707262295,17.0,0.44158906604691806,5.5
