,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
168,2014-06-15,Cook,Illinois,60466,41.48,-87.68,0,4,17,031
169,2014-06-13,Los Angeles,California,90003,33.96,-118.27,3,1,06,037
170,2014-06-09,Passaic,New Jersey,07501,40.91,-74.16,0,6,34,031
171,2014-06-08,Covington,Alabama,36467,31.29,-86.25,1,4,01,039
172,2014-06-07,None,South Carolina,NaN,33.1960027,-80.01313739999999,1,5,,
173,2014-06-07,Oakland,Michigan,48237,42.46,-83.18,1,3,26,125
174,2014-06-04,Cook,Illinois,60644,41.83,-87.68,1,3,17,031
175,2014-06-03,Fulton,Georgia,30315,33.7,-84.38,1,4,13,121
176,2014-06-02,Cook,Illinois,60649,41.83,-87.68,0,7,17,031
177,2014-06-01,Cook,Illinois,60644,41.83,-87.68,1,5,17,031
178,2014-06-01,Sacramento,California,95823,38.47,-121.44,0,4,06,067
179,2014-05-31,San Bernardino,California,92410,34.1,-117.27,1,3,06,071
180,2014-05-25,Lucas,Ohio,43607,41.66,-83.58,1,3,39,095
181,2014-05-24,Wayne,Michigan,48201,42.38,-83.1,0,4,26,163
182,2014-05-24,Horry,South Carolina,29582,33.82,-78.67,3,1,45,051
183,2014-05-23,Santa Barbara,California,93117,34.5,-120.12,4,8,06,083
184,2014-05-23,Orleans Parish,Louisiana,70122,30.06,-89.93,1,7,22,071
185,2014-05-23,Los Angeles,California,90706,33.88,-118.13,2,2,06,037
186,2014-05-21,Dallas,Texas,75224,32.79,-96.76,1,3,48,113
187,2014-05-18,Erie,Ohio,44870,41.45,-82.71,0,7,39,043
188,2014-05-17,Riverside,California,92236,33.7,-116.17,1,3,06,065
189,2014-05-17,District Of Columbia,District of Columbia,20018,38.89,-77.03,0,5,,
190,2014-05-13,Fulton,Georgia,30311,33.76,-84.42,0,5,13,121
191,2014-05-12,Cook,Illinois,60623,41.83,-87.68,0,4,17,031
192,2014-05-11,Sacramento,California,95817,38.55,-121.45,1,6,06,067
193,2014-05-11,Shelby,Tennessee,38108,35.1,-90.0,0,7,47,157
194,2014-05-10,Dekalb,Georgia,30083,33.8,-84.17,1,3,,
195,2014-05-10,Sacramento,California,95817,38.55,-121.45,1,6,06,067
196,2014-05-10,Dekalb,Georgia,30032,33.77,-84.29,2,3,,
197,2014-05-04,Cook,Illinois,60654,41.83,-87.68,1,3,17,031
198,2014-05-04,Jefferson,Colorado,80033,39.77,-105.09,0,4,08,059
199,2014-05-03,Craighead,Arkansas,72401,35.82,-90.68,4,4,05,031
200,2014-04-30,Cook,Illinois,60649,41.83,-87.68,0,4,17,031
201,2014-04-29,Cobb,Georgia,30144,34.02,-84.61,1,6,13,067
202,2014-04-27,Rensselaer,New York,12180,42.73,-73.67,0,5,36,083
203,2014-04-25,Shelby,Tennessee,38108,35.1,-90.0,2,3,47,157
204,2014-04-22,Los Angeles,California,90043,33.98,-118.33,1,3,06,037
205,2014-04-20,Kendall,Illinois,60538,41.72,-88.34,0,6,17,093
206,2014-04-20,Hillsborough,Florida,33605,27.95,-82.48,2,2,12,057
207,2014-04-20,Cook,Illinois,60637,41.83,-87.68,0,5,17,031
208,2014-04-14,Washington,District of Columbia,66968,39.81,-97.05,0,4,,
209,2014-04-12,Orleans Parish,Louisiana,70116,30.06,-89.93,1,3,22,071
210,2014-04-11,Wayne,Indiana,47374,39.82,-84.88,0,4,18,177
211,2014-04-09,Hamilton,Tennessee,37419,35.06,-85.25,3,1,47,065
212,2014-04-09,Winnebago,Illinois,61101,42.27,-89.06,0,4,17,201
213,2014-04-07,Orleans Parish,Louisiana,70119,30.06,-89.93,0,4,22,071
214,2014-04-06,Hampden,Massachusetts,01103,42.11,-72.53,0,4,25,013
215,2014-04-06,Oklahoma,Oklahoma,73107,35.46,-97.51,0,4,40,109
216,2014-04-05,Cook,Illinois,60624,41.83,-87.68,1,5,17,031
