,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
623,2016-12-11,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,NC,27801,35.95,-77.81,20713.0,312.38,Rural
624,2016-12-09,Texas,Channelview,NaN,4,0,TX,NaN,29.7760599,-95.11465330000001,NaN,,
625,2016-12-09,California,Fresno,842 Fresno Street,0,4,CA,93706,36.64,-119.91,40583.0,251.34,Rural
626,2016-12-05,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,NM,87123,35.11,-106.62,44656.0,1198.01,Suburban
627,2016-12-03,California,Los Angeles,91st Street and Western Avenue,0,6,CA,90047,33.95,-118.3,48306.0,10273.94,Urban
628,2016-12-02,New Jersey,Bloomfield,3 1st Ave,0,6,NJ,07003,40.81,-74.18,47989.0,8947.05,Urban
629,2016-12-01,California,Clearlake Oaks,NaN,1,3,CA,NaN,39.0262841,-122.6719304,NaN,,
630,2016-11-30,Maryland,Baltimore,2901 Garrison Blvd,2,4,MD,21216,39.3,-76.61,28890.0,9619.38,Urban
631,2016-11-28,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,TX,78572,26.21,-98.31,77819.0,970.32,Rural
632,2016-11-28,California,Wilmington,1067 McDonald Avenue,0,4,CA,90744,33.77,-118.26,57432.0,6455.73,Urban
633,2016-11-28,California,San Pedro,300 block of West 2nd Street,0,4,CA,90731,33.73,-118.29,61046.0,6480.07,Urban
634,2016-11-27,Louisiana,New Orleans,100 block of Bourbon Street,1,9,LA,70112,30.06,-89.93,2749.0,4191.51,Urban
635,2016-11-27,Missouri,Kansas City,Gregory and Prospect,0,7,MO,64132,39.09,-94.58,14304.0,1354.98,Suburban
636,2016-11-26,Illinois,Chicago,8800 block of S Exchange Ave,1,5,IL,60617,41.83,-87.68,80002.0,6066.97,Urban
637,2016-11-25,Louisiana,New Orleans,Magnolia St and Felicity St,0,4,LA,70113,30.06,-89.93,8321.0,6907.57,Urban
638,2016-11-24,Kentucky,Louisville,4501 W Broadway,2,4,KY,40211,38.22,-85.74,22826.0,3022.59,Urban
639,2016-11-24,New York,Albany,77 Central Ave,1,3,NY,12206,42.66,-73.79,15591.0,7700.8,Urban
640,2016-11-23,Mississippi,Olive Branch,15300 at Market,0,4,MS,38654,34.95,-89.82,50173.0,484.26,Rural
641,2016-11-22,Florida,Clewiston,1068 Harlem Academy Ave,1,4,FL,33440,26.75,-80.93,20048.0,30.01,Rural
642,2016-11-18,Illinois,Chicago,5000 block of W Wabansia,0,4,IL,60639,41.83,-87.68,90211.0,18533.62,Urban
643,2016-11-17,Tennessee,Dyersburg,160 Longfellow,1,7,TN,38024,36.03,-89.38,27798.0,193.73,Rural
644,2016-11-13,Florida,Jacksonville,5105 Cleveland Rd,3,2,FL,32209,30.33,-81.65,34192.0,3674.88,Urban
645,2016-11-13,Texas,San Antonio,8000 Midcrown,0,4,TX,78218,29.45,-98.5,35106.0,2699.11,Suburban
646,2016-11-13,California,San Diego,3800 block of Marlborough Avenue,3,2,CA,92105,32.73,-117.08,72724.0,12531.5,Urban
647,2016-11-13,Florida,Orlando,Conley Street and South Ivey Lane,0,4,FL,32811,28.5,-81.37,39748.0,4312.63,Urban
648,2016-11-12,California,Sacramento,8600 block of Ardith Drive,1,5,CA,95828,38.48,-121.4,60884.0,4698.5,Urban
649,2016-11-12,Missouri,Kansas City,NaN,1,3,MO,NaN,39.0997265,-94.5785667,NaN,,
650,2016-11-12,Connecticut,Bridgeport,2500 Park Avenue,0,5,CT,06604,41.18,-73.19,30164.0,9672.3,Urban
651,2016-11-11,Texas,Houston,7705 Channelside Street,0,4,TX,77012,29.76,-95.38,20534.0,5274.69,Urban
652,2016-11-10,Texas,Houston,6610 S Sam Houston Pkwy W,1,3,TX,77085,29.76,-95.38,17659.0,3044.32,Urban
653,2016-11-09,Washington,Seattle,1524 3rd Ave,0,5,WA,98101,47.61,-122.33,12044.0,19726.4,Urban
654,2016-11-09,Illinois,Chicago,3400 block of W Monroe,1,3,IL,60624,41.83,-87.68,38134.0,10779.35,Urban
655,2016-11-09,Tennessee,Memphis,1800 block of East Brooks Road,0,4,TN,38116,35.1,-90.0,40033.0,2125.41,Suburban
656,2016-11-05,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,FL,33312,26.14,-80.13,54714.0,4326.06,Urban
657,2016-11-05,Texas,San Antonio,10726 Perrin Beitel Rd,0,4,TX,78217,29.45,-98.5,33635.0,3064.5,Urban
658,2016-11-05,South Carolina,Myrtle Beach,803 Main St,0,5,SC,29582,33.82,-78.67,16266.0,672.52,Rural
659,2016-11-05,California,Oakland,420 14th Street,0,8,CA,94612,37.8,-122.27,15200.0,16908.34,Urban
660,2016-11-05,Illinois,Chicago,4800 block of North Winthrop,0,5,IL,60640,41.83,-87.68,67088.0,27321.43,Urban
661,2016-11-04,Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,PA,19143,39.95,-75.16,63518.0,20341.59,Urban
662,2016-11-03,Illinois,Chicago,8000 block of S Shore Dr,2,2,IL,60617,41.83,-87.68,80002.0,6066.97,Urban
