,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
60,2014-10-04,Tennessee,Memphis,1400 block of Gherald Street,2,2,TN,38108,35.1,-90.0,18685.0,2674.04,Suburban
61,2014-10-04,California,Pomona,1925 West Holt Avenue ,0,4,CA,91768,34.06,-117.79,36454.0,3993.18,Urban
62,2014-09-29,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,SC,29488,32.9,-80.67,22301.0,96.57,Rural
63,2014-09-29,California,Fresno,2300 block of West Fountain Way ,0,4,CA,93705,36.78,-119.82,38130.0,7527.28,Urban
64,2014-09-28,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,PA,19133,39.95,-75.16,26247.0,20033.05,Urban
65,2014-09-28,Florida,Miami,NW 7th Ave and NW 64th Street,0,15,FL,33150,25.77,-80.2,28759.0,7950.54,Urban
66,2014-09-27,Missouri,Saint Louis,2000 block East John Avenue,0,5,MO,63107,38.63,-90.24,11725.0,4961.27,Urban
67,2014-09-26,South Carolina,Darlington County,600 block of Turner Road,1,4,SC,29501,34.18,-79.78,44683.0,804.9,Rural
68,2014-09-21,Ohio,East Liverpool,440 First St,0,4,OH,43920,40.63,-80.56,23270.0,522.33,Rural
69,2014-09-20,Mississippi,Batesville,8297 Curtis Rd,2,2,MS,38606,34.31,-89.93,16081.0,61.0,Rural
70,2014-09-19,New York,Queens,32-14 106th St,0,4,NY,11369,40.76,-73.88,39862.0,35854.22,Urban
71,2014-09-18,Florida,Bell,NaN,8,0,FL,NaN,37.0341181,-95.6426791,NaN,,
72,2014-09-15,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,LA,70126,30.06,-89.93,25224.0,2371.37,Suburban
73,2014-09-14,Texas,Flour Bluff,229 Naval Air Station Drive,3,1,TX,78418,27.8,-97.39,30830.0,686.9,Rural
74,2014-09-14,Alaska,Anchorage,225 E Fifth,0,6,AK,99501,61.22,-149.85,16976.0,2536.46,Suburban
75,2014-09-11,Michigan,Detroit,14000 block of Patton,1,7,MI,48223,42.38,-83.1,24221.0,4185.0,Urban
76,2014-09-06,Florida,Orlando,2015 Orange Blossom Trail,0,4,FL,32804,28.5,-81.37,16607.0,2364.06,Suburban
77,2014-09-06,Georgia,Macon,576 Poplar Street,0,5,GA,31201,32.83,-83.65,8721.0,823.25,Rural
78,2014-09-04,Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,MI,48505,43.02,-83.69,22416.0,2047.46,Suburban
79,2014-09-03,California,Los Angeles,East 27th and Stanford ,0,6,CA,90011,34.0,-118.25,102926.0,24239.85,Urban
80,2014-09-02,California,Highland,25000 block of Fifth Street ,0,5,CA,92410,34.1,-117.27,47510.0,6010.95,Urban
81,2014-09-02,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,MS,39213,32.32,-90.2,22758.0,777.25,Rural
82,2014-08-31,California,Livermore,200 block of South Q Street ,0,5,CA,94550,37.68,-121.75,48050.0,201.41,Rural
83,2014-08-29,Florida,Brooksville,820 Peach St,3,1,FL,34601,28.55,-82.39,21199.0,183.47,Rural
84,2014-08-27,Michigan,Detroit,16600 block of Edmore,1,3,MI,48205,42.38,-83.1,37556.0,6900.36,Urban
85,2014-08-24,Illinois,Chicago,8300 block of South Halsted Street,1,3,IL,60620,41.83,-87.68,71907.0,10192.8,Urban
86,2014-08-24,Georgia,Augusta,1013 Carrie Street,1,3,GA,30901,33.45,-81.99,16609.0,800.67,Rural
87,2014-08-24,California,San Fernando,1400 block of Celis Street ,3,4,CA,91340,34.28,-118.44,35455.0,10111.8,Urban
88,2014-08-20,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,TN,38127,35.1,-90.0,44632.0,1203.92,Suburban
89,2014-08-18,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,LA,70582,30.12,-91.83,19400.0,137.64,Rural
90,2014-08-17,New York,Queens,153-38 118th Ave,0,4,NY,11434,40.68,-73.78,65255.0,18260.96,Urban
91,2014-08-17,Massachusetts,Boston,Edinboro Street,0,4,MA,02111,42.35,-71.06,7505.0,27344.44,Urban
92,2014-08-17,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,CA,94303,37.45,-122.1,47159.0,5712.65,Urban
93,2014-08-17,Nevada,Las Vegas,Owens Avenue and H Street,0,4,NV,89106,36.18,-115.17,26328.0,4866.62,Urban
94,2014-08-16,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,NJ,07063,40.63,-74.4,13960.0,7434.38,Urban
95,2014-08-16,Utah,Salt Lake City,122 Pierpont Avenue,0,6,UT,84101,40.75,-111.9,5087.0,2901.04,Suburban
96,2014-08-14,Tennessee,Memphis,797 Pope Street,1,3,TN,38112,35.1,-90.0,16858.0,3885.26,Urban
97,2014-08-13,Tennessee,Clarksville,Treeland Drive,0,4,TN,37040,36.56,-87.34,46655.0,486.14,Rural
98,2014-08-13,Louisiana,New Orleans,NaN,0,4,LA,NaN,29.95106579999999,-90.0715323,NaN,,
99,2014-08-12,Georgia,Cartersville,New Orleans at North Rocheblave streets,2,3,GA,30339,33.86,-84.47,20060.0,2230.56,Suburban
100,2014-08-12,New York,Buffalo,Oakmont Avenue,1,3,NY,14215,42.88,-78.85,39786.0,8139.8,Urban
101,2014-08-10,Louisiana,New Orleans,5400 block of Burgundy St,2,5,LA,70117,30.06,-89.93,22639.0,4268.07,Urban
102,2014-08-10,Georgia,Wrightsville,New Orleans at North Rocheblave streets,0,6,GA,31096,32.72,-82.72,7242.0,43.3,Rural
103,2014-08-10,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,CA,92551,33.87,-117.22,33050.0,5246.89,Urban
104,2014-08-10,District of Columbia,Washington,N Street SW,0,6,DC,20024,38.89,-77.03,11245.0,4406.58,Urban
105,2014-08-09,Minnesota,Minneapolis,400 3rd Ave N,1,8,MN,55401,44.96,-93.26,7583.0,7314.1,Urban
106,2014-08-08,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,WI,53210,43.06,-87.96,26661.0,11047.13,Urban
107,2014-08-08,District of Columbia,Washington,Second Street and Todd Place NE,0,4,DC,20002,38.89,-77.03,56646.0,9969.54,Urban
108,2014-08-08,New Mexico,Albuquerque,3426 Vassar NE,1,3,NM,87107,35.11,-106.62,32237.0,2110.81,Suburban
109,2014-08-06,California,Bakersfield,1700 block of Quincy Street ,3,1,CA,93305,35.39,-118.98,37871.0,6336.54,Urban
110,2014-08-04,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,GA,30314,33.75,-84.42,21226.0,4716.21,Urban
111,2014-08-03,Texas,Humble,3403 FM 1960,0,7,TX,77338,29.99,-95.26,36257.0,1282.07,Suburban
112,2014-08-03,Missouri,Saint Louis,5200 block of Thekla ,0,5,MO,63115,38.63,-90.24,20510.0,4866.48,Urban
113,2014-08-03,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,VA,22724,38.63,-77.91,2088.0,108.16,Rural
114,2014-08-03,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,TN,38401,35.62,-87.04,53701.0,181.11,Rural
115,2014-08-02,Texas,Dallas,5125 Wynell Street,3,1,TX,75241,32.79,-96.76,29658.0,1007.41,Suburban
116,2014-08-02,Massachusetts,New Bedford,New Orleans at North Rocheblave streets,0,7,MA,70112,30.06,-89.93,3054.0,4191.51,Urban
117,2014-08-02,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,PA,15201,40.43,-79.97,13162.0,5126.21,Urban
118,2014-08-01,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,PA,19146,39.95,-75.16,36596.0,20776.92,Urban
119,2014-07-30,North Carolina,Hope Mills,926 Bramblegate Rd,2,3,NC,28348,34.97,-78.95,33385.0,750.36,Rural
120,2014-07-28,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,PA,19120,39.95,-75.16,77645.0,20007.05,Urban
121,2014-07-27,Missouri,Saint Louis,2000 block of East John Avenue,0,5,MO,63107,38.63,-90.24,11725.0,4961.27,Urban
122,2014-07-26,Arkansas,Pine Bluff,NaN,1,3,AR,NaN,34.2284312,-92.00319549999999,NaN,,
123,2014-07-26,Maine,Saco,35 Water Street,5,0,ME,04072,43.53,-70.45,18757.0,480.5,Rural
124,2014-07-26,Georgia,Sylvester,Royal Street,0,8,GA,31791,31.52,-83.83,11817.0,65.06,Rural
125,2014-07-25,Illinois,Chicago,700 South California Avenue,1,6,IL,60612,41.83,-87.68,35598.0,8933.01,Urban
126,2014-07-23,Pennsylvania,Braddock,700 block of Hickory St,0,4,PA,15104,40.4,-79.86,8913.0,3691.99,Urban
127,2014-07-21,New Jersey,Irvington,36 Welland Avenue,0,6,NJ,07111,40.72,-74.23,54268.0,18422.81,Urban
128,2014-07-21,Tennessee,Memphis,300 block of Foote Park Lane,0,4,TN,38126,35.1,-90.0,6286.0,4036.32,Urban
129,2014-07-20,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,IL,62204,38.61,-90.13,8612.0,1421.94,Suburban
130,2014-07-20,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,NV,89130,36.24,-115.23,32908.0,4316.81,Urban
131,2014-07-19,Illinois,Chicago,1300 North Mason Avenue,0,4,IL,60651,41.83,-87.68,60938.0,18388.27,Urban
132,2014-07-14,California,Sacramento,Third Ave at Redbud St,1,4,CA,95817,38.55,-121.45,14472.0,5907.46,Urban
133,2014-07-13,Washington,Skyway,12600 Renton Avenue South ,0,5,WA,98178,47.49,-122.25,23866.0,4970.5,Urban
134,2014-07-13,Connecticut,Stamford,84 West Park Place,0,5,CT,06901,41.09,-73.55,7825.0,14683.87,Urban
135,2014-07-13,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,DC,20002,38.89,-77.03,56646.0,9969.54,Urban
136,2014-07-12,California,Pasadena,1700 block of Summit Avenue,3,2,CA,91103,34.17,-118.17,27684.0,5122.09,Urban
137,2014-07-11,Illinois,Chicago,5200 West Quincy Street,1,3,IL,60644,41.83,-87.68,49615.0,13883.56,Urban
138,2014-07-09,Texas,Spring,711 Leaflet Ln,6,1,TX,77388,30.06,-95.38,41866.0,2905.32,Suburban
139,2014-07-08,Rhode Island,Providence,35 March Street,0,5,RI,02908,41.82,-71.41,38141.0,11852.89,Urban
140,2014-07-07,Kentucky,Stopover,KY 194E,0,4,KY,41568,37.52,-82.03,727.0,39.19,Rural
141,2014-07-07,California,San Bernardino,312  E Baseline Street ,1,4,CA,92410,34.1,-117.27,47510.0,6010.95,Urban
142,2014-07-06,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,FL,33147,25.77,-80.2,43537.0,6475.3,Urban
143,2014-07-06,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,MO,63115,38.63,-90.24,20510.0,4866.48,Urban
144,2014-07-06,New York,Buffalo,100 block of Erb Street,0,4,NY,14215,42.88,-78.85,39786.0,8139.8,Urban
145,2014-07-05,Texas,Houston,1700 Almeda-Genoa,0,6,TX,77047,29.76,-95.38,23256.0,1524.12,Suburban
146,2014-07-05,Virginia,Norfolk,861 W. 36th Street,0,7,VA,23508,36.84,-76.28,21707.0,5758.17,Urban
147,2014-07-05,Oregon,Portland,333 SE 122ND Ave,1,4,OR,97233,45.51,-122.49,41571.0,8709.51,Urban
148,2014-07-05,Indiana,Indianapolis,Broad Ripple Avenue,0,7,IN,46220,39.77,-86.14,34571.0,2891.66,Suburban
149,2014-07-05,Illinois,Centreville,4700 Piggott Avenue,0,5,IL,62207,38.61,-90.13,8445.0,1311.65,Suburban
150,2014-07-04,Virginia,Norfolk,1722 Thurgood Street,0,5,VA,23523,36.84,-76.28,8174.0,3606.2,Urban
151,2014-07-02,Pennsylvania,Chester,1400 block of West Congress Street,0,5,PA,19013,39.84,-75.37,35589.0,6138.39,Urban
152,2014-06-30,Kentucky,Lexington,Scottsdale Circle,1,3,KY,40511,38.04,-84.45,31135.0,358.99,Rural
153,2014-06-29,Louisiana,New Orleans,700 block of Bourbon St,1,9,LA,70116,30.06,-89.93,11936.0,8906.35,Urban
154,2014-06-29,Missouri,Saint Louis,2800 block of Dayton,0,4,MO,63106,38.63,-90.24,11990.0,5267.29,Urban
155,2014-06-29,California,Los Angeles,1100 block of North Vermont Avenue,1,5,CA,90029,34.09,-118.29,40161.0,28353.16,Urban
156,2014-06-28,California,Antioch,5500 Cedar Point Way,0,7,CA,94531,37.96,-121.76,42587.0,3681.13,Urban
157,2014-06-28,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,NY,10037,40.71,-73.99,18041.0,67766.54,Urban
158,2014-06-27,California,San Diego,1600 block of Cathy Street,1,3,CA,92154,32.56,-117.01,86740.0,2157.07,Suburban
159,2014-06-26,Wisconsin,Milwaukee,24th and Locust,0,5,WI,53206,43.06,-87.96,27426.0,10479.2,Urban
160,2014-06-26,Michigan,Detroit,Grand St,2,2,MI,48238,42.38,-83.1,30683.0,5882.69,Urban
161,2014-06-25,Massachusetts,Lowell,Midland Street,0,5,MA,01851,42.63,-71.32,30379.0,9044.34,Urban
162,2014-06-24,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,FL,33147,25.77,-80.2,43537.0,6475.3,Urban
163,2014-06-22,California,Windsor,Windsor Avenue,1,3,CA,95492,38.53,-122.81,29629.0,1499.47,Suburban
164,2014-06-21,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,DC,20009,38.89,-77.03,50709.0,36523.59,Urban
165,2014-06-21,Tennessee,Memphis,2119 East Alcy Road,0,5,TN,38114,35.1,-90.0,27896.0,3566.88,Urban
166,2014-06-20,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,MD,20743,38.87,-76.9,38788.0,3969.68,Urban
167,2014-06-15,Indiana,Kokomo,5100 Clinton Drive,0,4,IN,46902,40.47,-86.13,36239.0,669.35,Rural
168,2014-06-15,Illinois,Park Forest,200 Berry Street,0,4,IL,60466,41.48,-87.68,22702.0,3450.08,Urban
169,2014-06-13,California,Los Angeles,8600 block of South Figueroa Street,3,1,CA,90003,33.96,-118.27,66913.0,18661.22,Urban
170,2014-06-09,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,NJ,07501,40.91,-74.16,33225.0,18170.64,Urban
171,2014-06-08,Alabama,Opp,611 Hardin Street,1,4,AL,36467,31.29,-86.25,10228.0,60.76,Rural
172,2014-06-07,South Carolina,Moncks Corner,NaN,1,5,SC,NaN,33.1960027,-80.01313739999999,NaN,,
173,2014-06-07,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,MI,48237,42.46,-83.18,29622.0,5691.9,Urban
174,2014-06-04,Illinois,Chicago,4900 West West End Avenue,1,3,IL,60644,41.83,-87.68,49615.0,13883.56,Urban
175,2014-06-03,Georgia,Atlanta,Third Ave at Redbud St,1,4,GA,30315,33.7,-84.38,34159.0,2992.49,Suburban
176,2014-06-02,Illinois,Chicago,2660 E. 79th St,0,7,IL,60649,41.83,-87.68,45201.0,15932.38,Urban
177,2014-06-01,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,IL,60644,41.83,-87.68,49615.0,13883.56,Urban
178,2014-06-01,California,Sacramento,6500 46th Street,0,4,CA,95823,38.47,-121.44,73641.0,6267.79,Urban
179,2014-05-31,California,San Bernardino,800 block of West Victoria St,1,3,CA,92410,34.1,-117.27,47510.0,6010.95,Urban
180,2014-05-25,Ohio,Toledo,2100 block of Joffre Avenue,1,3,OH,43607,41.66,-83.58,23547.0,3330.28,Urban
181,2014-05-24,Michigan,Detroit,Third Ave at Redbud St,0,4,MI,48201,42.38,-83.1,12465.0,6391.02,Urban
182,2014-05-24,South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,SC,29582,33.82,-78.67,15550.0,672.52,Rural
183,2014-05-23,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,CA,93117,34.5,-120.12,55064.0,312.9,Rural
184,2014-05-23,Louisiana,New Orleans,6200 block of Eads Street,1,7,LA,70122,30.06,-89.93,32966.0,4049.33,Urban
185,2014-05-23,California,Bellflower,9541 Flower Street,2,2,CA,90706,33.88,-118.13,77455.0,12543.39,Urban
186,2014-05-21,Texas,Dallas,4500 block of Village Fair Drive,1,3,TX,75224,32.79,-96.76,35345.0,5825.74,Urban
187,2014-05-18,Ohio,Sandusky,1643 Cleveland Rd,0,7,OH,44870,41.45,-82.71,41125.0,703.87,Rural
188,2014-05-17,California,Coachella,84000 block of Pedro Drive,1,3,CA,92236,33.7,-116.17,43037.0,1877.39,Suburban
189,2014-05-17,District of Columbia,Washington,2200 block of Adams Place NE,0,5,DC,20018,38.89,-77.03,18834.0,5599.6,Urban
190,2014-05-13,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,GA,30311,33.76,-84.42,36381.0,2591.95,Suburban
191,2014-05-12,Illinois,Chicago,3400 West 24th Street,0,4,IL,60623,41.83,-87.68,87836.0,17197.16,Urban
192,2014-05-11,California,Sacramento,Third Ave at Redbud St,1,6,CA,95817,38.55,-121.45,14472.0,5907.46,Urban
193,2014-05-11,Tennessee,Memphis,2517 Shasta,0,7,TN,38108,35.1,-90.0,18685.0,2674.04,Suburban
194,2014-05-10,Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,GA,30083,33.8,-84.17,53914.0,2968.83,Suburban
195,2014-05-10,California,Sacramento,Third Ave at Redbud St,1,6,CA,95817,38.55,-121.45,14472.0,5907.46,Urban
196,2014-05-10,Georgia,Decatur,Shamrock Drive ,2,3,GA,30032,33.77,-84.29,48419.0,3462.53,Urban
197,2014-05-04,Illinois,Chicago,500 West Erie Street,1,3,IL,60654,41.83,-87.68,16244.0,24465.46,Urban
198,2014-05-04,Colorado,Wheat Ridge,12100 W 44th,0,4,CO,80033,39.77,-105.09,24838.0,2894.11,Suburban
199,2014-05-03,Arkansas,Jonesboro,2201 Moore Rd,4,4,AR,72401,35.82,-90.68,55536.0,458.69,Rural
200,2014-04-30,Illinois,Chicago,7200 South Phillips Avenue,0,4,IL,60649,41.83,-87.68,45201.0,15932.38,Urban
201,2014-04-29,Georgia,Kennesaw,1675 Airport Road,1,6,GA,30144,34.02,-84.61,52871.0,2315.01,Suburban
202,2014-04-27,New York,Troy,Fourth Street,0,5,NY,12180,42.73,-73.67,53218.0,976.52,Rural
203,2014-04-25,Tennessee,Memphis,2000 Chelsea Avenue,2,3,TN,38108,35.1,-90.0,18685.0,2674.04,Suburban
204,2014-04-22,California,Los Angeles,6419 Brynhurst Avenue,1,3,CA,90043,33.98,-118.33,43118.0,10834.3,Urban
205,2014-04-20,Illinois,Montgomery,1300 block of Jackson St,0,6,IL,60538,41.72,-88.34,26862.0,2641.82,Suburban
206,2014-04-20,Florida,Tampa,2902 N. 32nd St.,2,2,FL,33605,27.95,-82.48,17725.0,2180.46,Suburban
207,2014-04-20,Illinois,Chicago,6600 South Michigan Ave,0,5,IL,60637,41.83,-87.68,48851.0,10983.58,Urban
208,2014-04-14,District of Columbia,Washington,1500 block of 19th Street,0,4,DC,66968,39.81,-97.05,1752.0,12.7,Rural
209,2014-04-12,Louisiana,New Orleans,2100 block of Pauger Street,1,3,LA,70116,30.06,-89.93,11936.0,8906.35,Urban
210,2014-04-11,Indiana,Richmond,North 15th and H Streets,0,4,IN,47374,39.82,-84.88,46333.0,399.23,Rural
211,2014-04-09,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,TN,37419,35.06,-85.25,5820.0,136.59,Rural
212,2014-04-09,Illinois,Rockford,300 North Sunset,0,4,IL,61101,42.27,-89.06,22272.0,518.6,Rural
213,2014-04-07,Louisiana,New Orleans,500 block of South Alexander Street,0,4,LA,70119,30.06,-89.93,36654.0,8104.7,Urban
214,2014-04-06,Massachusetts,Springfield,90 Worthington St.,0,4,MA,01103,42.11,-72.53,2472.0,5389.13,Urban
215,2014-04-06,Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,OK,73107,35.46,-97.51,26810.0,3392.64,Urban
216,2014-04-05,Illinois,Chicago,4300 W Wilcox Street,1,5,IL,60624,41.83,-87.68,39706.0,10779.35,Urban
217,2014-04-05,Arizona,Phoenix,5400 block of W Palm Ln,1,3,AZ,85035,33.47,-112.19,54668.0,8311.92,Urban
218,2014-04-05,California,Fairfield,Orchid Street ,0,4,CA,94533,38.28,-122.0,70634.0,3206.82,Urban
219,2014-04-02,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,TX,76544,31.09,-97.71,32501.0,978.98,Rural
220,2014-03-30,Mississippi,Starkville,Third Ave at Redbud St,0,5,MS,38850,34.03,-89.01,2888.0,25.53,Rural
221,2014-03-30,North Carolina,Charlotte,4300 Sunset Road,0,5,NC,28216,35.19,-80.83,49144.0,1578.44,Suburban
222,2014-03-23,Texas,Arlington,2700 Majesty Drive,1,3,TX,76011,32.69,-97.12,22216.0,2690.51,Suburban
223,2014-03-23,California,Long Beach,601 Long Beach Boulevard,1,3,CA,90802,33.75,-118.2,38816.0,6069.26,Urban
224,2014-03-23,California,San Francisco,Turk and Taylor,0,7,CA,94102,37.77,-122.41,28013.0,46462.0,Urban
225,2014-03-21,South Carolina,North Charleston,7550 Dorchester Road,0,4,SC,29418,32.89,-80.05,24173.0,1745.38,Suburban
226,2014-03-16,Texas,Beaumont,Third Ave at Redbud St,3,1,TX,76226,33.11,-97.17,20660.0,386.3,Rural
227,2014-03-16,Georgia,Waynesboro,4960 Highway 80 West ,0,4,GA,30830,33.09,-82.01,14380.0,38.83,Rural
228,2014-03-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,NY,11211,40.64,-73.94,94681.0,39215.4,Urban
229,2014-03-09,Ohio,Fremont,531 W State St,3,1,OH,43420,41.35,-83.11,30554.0,226.85,Rural
230,2014-03-09,Texas,Austin, 4900 block of West Race Avenue,0,6,TX,60644,41.83,-87.68,49615.0,13883.56,Urban
231,2014-03-08,Illinois,Chicago,4900 West Race Ave,0,6,IL,60644,41.83,-87.68,49615.0,13883.56,Urban
232,2014-03-08,California,Richmond,1600 block of First Street,1,3,CA,94801,37.96,-122.38,29269.0,2606.4,Suburban
233,2014-03-05,South Carolina,Pelzer,Law Street,3,2,SC,29669,34.64,-82.46,11448.0,197.73,Rural
234,2014-03-01,Pennsylvania,Pittsburgh,Third Ave at Redbud St,1,4,PA,15219,40.43,-79.97,15624.0,7205.87,Urban
235,2014-03-01,Michigan,Detroit,7800 Gratiot Av.,0,4,MI,48213,42.38,-83.1,26745.0,4241.2,Urban
236,2014-02-25,Virginia,Glade Spring,Graceland Lane,5,1,VA,24340,36.79,-81.77,5741.0,95.99,Rural
237,2014-02-22,California,Wilmington,1200 block of W Papeete St,0,4,CA,90744,33.77,-118.26,58061.0,6455.73,Urban
238,2014-02-20,Indiana,Indianapolis,3400 block of South Parker,4,0,IN,46237,39.77,-86.14,40654.0,2665.95,Suburban
239,2014-02-20,California,Alturas,300 W 1st St,4,2,CA,15419,40.06,-79.91,4766.0,2592.04,Suburban
240,2014-02-16,Texas,Fort Worth, 115 NW 25th St.,1,4,TX,76164,32.75,-97.33,17501.0,4255.08,Urban
241,2014-02-16,Florida,Orange County,4500 at Riviera Shores ,1,6,FL,32811,28.5,-81.37,37479.0,4312.63,Urban
242,2014-02-16,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,FL,32205,30.33,-81.65,29068.0,3720.67,Urban
243,2014-02-16,Texas,Dallas,2600 block of South Harwood Street,1,7,TX,75215,32.79,-96.76,14490.0,1740.91,Suburban
244,2014-02-16,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,IN,46816,41.07,-85.13,17970.0,495.89,Rural
245,2014-02-15,Nevada,Las Vegas,Sahara and Maryland ,0,5,NV,89109,36.11,-115.12,7013.0,1747.64,Suburban
246,2014-02-12,Indiana,Gary,2220 block of Broadway,0,5,IN,46407,41.59,-87.34,12473.0,2984.91,Suburban
247,2014-02-12,California,Oakland,37th and International ,1,3,CA,94601,37.77,-122.21,49990.0,15484.61,Urban
248,2014-02-12,California,Stockton,4500 at Riviera Shores ,1,3,CA,92624,33.45,-117.66,6450.0,5275.11,Urban
249,2014-02-07,Florida,Miami,NaN,0,5,FL,NaN,25.7616798,-80.1917902,NaN,,
250,2014-02-06,Louisiana,New Orleans,4600 block of Downman Road,0,4,LA,70126,30.06,-89.93,25224.0,2371.37,Suburban
251,2014-02-05,Illinois,Chicago,6740 N Clark St,1,3,IL,60626,41.83,-87.68,49237.0,29407.04,Urban
252,2014-02-03,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,IN,46131,39.49,-86.05,31183.0,248.03,Rural
253,2014-01-27,North Carolina,Rocky Mount,821 Word Plaza,0,4,NC,27804,35.95,-77.81,29358.0,687.68,Rural
254,2014-01-27,Washington,Seattle,2nd Avenue South and South Main Street,1,4,WA,98104,47.6,-122.32,13177.0,16896.77,Urban
255,2014-01-25,Illinois,Chicago,S. Union Av and W. 51st St,1,4,IL,60609,41.83,-87.68,62405.0,8366.33,Urban
256,2014-01-25,Florida,Belle Glade,600 block of Covenant Drive,0,4,FL,33430,26.68,-80.67,21286.0,188.38,Rural
257,2014-01-21,New Jersey,Newark,NaN,2,3,NJ,NaN,40.735657,-74.1723667,NaN,,
258,2014-01-20,Virginia,Manassas,8509 Rixlew Ln,0,4,VA,20109,38.74,-77.48,35711.0,1822.52,Suburban
259,2014-01-16,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,5,OK,73401,34.19,-97.11,35838.0,106.21,Rural
260,2014-01-16,Utah,Spanish Fork,37 N. 630 West,5,0,UT,84660,40.02,-111.55,39533.0,272.42,Rural
261,2014-01-14,California,Los Angeles,West 86th Street,0,4,CA,90045,33.95,-118.4,41453.0,3681.12,Urban
262,2014-01-13,Michigan,Detroit,800 block of Calvert St,0,4,MI,48202,42.38,-83.1,16227.0,4990.38,Urban
263,2014-01-12,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,LA,39209,32.32,-90.2,27188.0,486.83,Rural
264,2014-01-12,Alabama,Huntsville,Northwest 41st Street at 9th Avenue ,0,5,AL,35805,34.7,-86.62,22449.0,2458.26,Suburban
265,2014-01-12,Illinois,Elgin,300 block of North Street,0,5,IL,60120,42.03,-88.28,50154.0,3080.53,Urban
266,2014-01-03,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,NY,11434,40.68,-73.78,65255.0,18260.96,Urban
267,2014-01-01,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,VA,23523,36.84,-76.28,8174.0,3606.2,Urban
268,2015-12-31,Louisiana,New Orleans,1900 block of Amelia Street,0,6,LA,70115,30.06,-89.93,34775.0,8173.03,Urban
269,2015-12-27,Tennessee,Jackson,NaN,0,4,TN,NaN,37.0328728,-95.6316455,NaN,,
270,2015-12-26,Pennsylvania,Philadelphia,4210 Macalester St,0,4,PA,19124,39.95,-75.16,64803.0,13680.21,Urban
271,2015-12-25,Florida,Jacksonville,Franklin and Odessa,0,4,FL,32206,30.33,-81.65,17141.0,2866.02,Suburban
272,2015-12-25,Alabama,Mobile,785 Schillinger Rd S,0,4,AL,36695,30.68,-88.04,48227.0,944.82,Rural
273,2015-12-21,California,San Leandro,14600 block of East 14th Street,0,4,CA,94578,37.7,-122.12,39642.0,8755.22,Urban
274,2015-12-20,Florida,Golden Glades,NE 166th St and NE 7th Ave,0,4,FL,33162,25.77,-80.2,48065.0,8380.94,Urban
275,2015-12-20,North Carolina,Wilmington,11th and Castle Street,1,4,NC,28401,34.21,-77.91,22175.0,914.45,Rural
276,2015-12-20,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,FL,33170,25.77,-80.2,13308.0,930.09,Rural
