,State,County_x,# Killed,# Injured,County FIPS,State FIPS,Total Victims,County_y,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017
237,North Carolina,Durham,0,8,063,37,8,Durham,"282,315","46,899",16.6,"288,571","49,310",17.1,"293,692","47,269",16.1,"299,038","47,090",15.7
238,North Carolina,Edgecombe,0,8,065,37,8,Edgecombe,"53,740","13,925",25.9,"52,967","14,742",27.8,"52,448","12,514",23.9,"51,906","13,222",25.5
239,North Carolina,Forsyth,0,4,067,37,4,Forsyth,"355,076","69,871",19.7,"358,223","64,966",18.1,"360,547","62,994",17.5,"365,758","60,638",16.6
240,North Carolina,Gaston,2,3,071,37,5,Gaston,"207,802","34,776",16.7,"210,101","36,243",17.3,"213,448","33,562",15.7,"216,831","32,751",15.1
241,North Carolina,Guilford,1,6,081,37,7,Guilford,"497,238","86,041",17.3,"502,022","78,783",15.7,"504,906","92,205",18.3,"511,022","73,862",14.5
242,North Carolina,Johnston,0,5,101,37,5,Johnston,"179,460","27,504",15.3,"183,883","23,887",13.0,"189,287","25,065",13.2,"194,775","29,365",15.1
243,North Carolina,Mecklenburg,2,33,119,37,35,Mecklenburg,"996,248","151,386",15.2,"1,017,889","145,693",14.3,"1,037,364","127,889",12.3,"1,060,485","120,634",11.4
244,North Carolina,Nash,4,4,127,37,8,Nash,"92,531","16,796",18.2,"92,033","16,648",18.1,"92,034","15,151",16.5,"92,049","14,560",15.8
245,North Carolina,New Hanover,2,7,129,37,9,New Hanover,"210,155","37,908",18.0,"213,954","36,967",17.3,"217,132","37,472",17.3,"221,067","34,283",15.5
246,North Carolina,Pasquotank,0,4,139,37,4,Pasquotank,"37,203","6,978",18.8,"37,404","7,132",19.1,"37,648","6,395",17.0,"37,527","7,579",20.2
247,North Carolina,Rockingham,0,7,157,37,7,Rockingham,"90,626","17,540",19.4,"90,677","16,699",18.4,"90,281","16,352",18.1,"89,912","14,628",16.3
248,North Carolina,Rowan,2,3,159,37,5,Rowan,"134,300","24,137",18.0,"134,569","23,342",17.3,"135,330","22,283",16.5,"136,143","20,790",15.3
249,North Carolina,Wake,1,3,183,37,4,Wake,"978,477","112,936",11.5,"1,003,351","111,299",11.1,"1,025,625","94,001",9.2,"1,052,109","93,924",8.9
250,North Carolina,Wilson,4,0,195,37,4,Wilson,"79,773","19,057",23.9,"80,127","15,955",19.9,"79,960","17,798",22.3,"80,085","14,481",18.1
251,Ohio,Butler,2,10,017,39,12,Butler,"362,175","52,128",14.4,"364,168","52,356",14.4,"364,809","45,165",12.4,"367,757","39,242",10.7
252,Ohio,Clark,1,3,023,39,4,Clark,"133,268","24,315",18.2,"132,656","20,019",15.1,"131,469","20,643",15.7,"130,590","20,082",15.4
253,Ohio,Columbiana,0,4,029,39,4,Columbiana,"101,664","16,171",15.9,"100,785","14,814",14.7,"99,609","17,130",17.2,"99,025","14,948",15.1
254,Ohio,Cuyahoga,19,54,035,39,73,Cuyahoga,"1,233,072","241,829",19.6,"1,229,007","224,256",18.2,"1,221,329","223,636",18.3,"1,220,999","221,287",18.1
255,Ohio,Erie,0,7,043,39,7,Erie,"74,275","10,343",13.9,"74,002","9,422",12.7,"73,515","9,171",12.5,"73,245","9,065",12.4
256,Ohio,Franklin,11,21,049,39,32,Franklin,"1,203,079","208,629",17.3,"1,223,013","208,972",17.1,"1,234,975","205,476",16.6,"1,259,477","201,260",16.0
257,Ohio,Hamilton,8,57,061,39,65,Hamilton,"787,642","138,939",17.6,"788,290","130,935",16.6,"788,945","126,002",16.0,"793,012","128,431",16.2
258,Ohio,Lawrence,4,0,087,39,4,Lawrence,"60,801","10,643",17.5,"60,295","12,680",21.0,"60,017","10,771",17.9,"59,416","11,563",19.5
259,Ohio,Lucas,1,11,095,39,12,Lucas,"425,588","87,923",20.7,"424,044","82,814",19.5,"422,296","83,600",19.8,"421,533","75,376",17.9
260,Ohio,Mahoning,0,4,099,39,4,Mahoning,"225,659","42,601",18.9,"224,419","37,640",16.8,"222,264","41,625",18.7,"221,616","40,879",18.4
261,Ohio,Montgomery,3,20,113,39,23,Montgomery,"518,583","101,914",19.7,"517,645","91,879",17.7,"515,981","93,949",18.2,"516,674","81,984",15.9
262,Ohio,Pike,8,0,131,39,8,Pike,"27,695","6,061",21.9,"27,657","5,907",21.4,"27,579","5,660",20.5,"27,699","5,536",20.0
263,Ohio,Richland,0,5,139,39,5,Richland,"114,673","18,246",15.9,"114,279","17,265",15.1,"113,621","17,904",15.8,"113,588","15,169",13.4
264,Ohio,Sandusky,3,1,143,39,4,Sandusky,"59,084","8,592",14.5,"58,594","7,142",12.2,"58,207","6,750",11.6,"58,092","6,477",11.1
265,Ohio,Stark,0,4,151,39,4,Stark,"366,698","54,744",14.9,"366,173","48,889",13.4,"364,454","48,072",13.2,"363,461","51,852",14.3
266,Ohio,Summit,2,7,153,39,9,Summit,"532,420","71,490",13.4,"532,489","76,554",14.4,"530,477","72,687",13.7,"531,580","68,434",12.9
267,Ohio,Trumbull,2,3,155,39,5,Trumbull,"200,866","34,593",17.2,"199,557","35,069",17.6,"197,443","34,839",17.6,"196,061","30,109",15.4
268,Oklahoma,Carter,2,5,019,40,7,Carter,"47,785","7,870",16.5,"47,694","7,776",16.3,"47,579","7,799",16.4,"47,184","8,014",17.0
269,Oklahoma,Oklahoma,2,15,109,40,17,Oklahoma,"750,143","134,346",17.9,"761,431","123,515",16.2,"767,864","124,834",16.3,"772,365","122,953",15.9
270,Oklahoma,Tulsa,1,14,143,40,15,Tulsa,"618,147","91,246",14.8,"628,267","99,650",15.9,"632,189","99,417",15.7,"635,152","91,757",14.4
271,Oregon,Douglas,10,9,019,41,19,Douglas,"105,676","21,001",19.9,"106,390","20,707",19.5,"107,195","16,692",15.6,"107,994","16,135",14.9
272,Oregon,Marion,4,5,047,41,9,Marion,"316,326","56,064",17.7,"320,889","53,817",16.8,"326,994","44,581",13.6,"331,665","50,264",15.2
273,Oregon,Multnomah,1,12,051,41,13,Multnomah,"761,749","141,562",18.6,"775,237","121,528",15.7,"784,745","111,262",14.2,"792,245","114,241",14.4
274,Pennsylvania,Allegheny,12,53,003,42,65,Allegheny,"1,196,677","157,151",13.1,"1,195,809","145,454",12.2,"1,190,742","137,017",11.5,"1,189,905","132,929",11.2
275,Pennsylvania,Berks,5,4,011,42,9,Berks,"401,903","57,336",14.3,"403,399","50,814",12.6,"402,917","52,766",13.1,"406,362","47,405",11.7
276,Pennsylvania,Cambria,0,4,021,42,4,Cambria,"131,639","20,177",15.3,"130,368","19,450",14.9,"128,821","20,033",15.6,"127,433","19,126",15.0
277,Pennsylvania,Delaware,1,16,045,42,17,Delaware,"541,783","59,610",11.0,"542,699","56,493",10.4,"542,088","58,546",10.8,"543,490","53,255",9.8
278,Pennsylvania,Erie,2,5,049,42,7,Erie,"265,705","43,476",16.4,"265,308","45,339",17.1,"263,506","41,331",15.7,"262,211","41,288",15.7
279,Pennsylvania,Lycoming,0,5,081,42,5,Lycoming,"110,982","17,789",16.0,"110,488","16,377",14.8,"109,836","16,033",14.6,"108,521","13,968",12.9
280,Pennsylvania,Montgomery,7,0,091,42,7,Montgomery,"795,633","56,743",7.1,"798,294","52,939",6.6,"800,766","49,697",6.2,"805,261","47,041",5.8
281,Pennsylvania,Philadelphia,14,103,101,42,117,Philadelphia,"1,509,769","389,485",25.8,"1,517,222","385,781",25.4,"1,517,920","384,148",25.3,"1,531,792","388,221",25.3
282,Pennsylvania,York,0,4,133,42,4,York,"431,614","44,232",10.2,"433,660","45,255",10.4,"434,459","42,508",9.8,"436,957","40,966",9.4
283,Rhode Island,Providence,0,9,007,44,9,Providence,"605,860","110,850",18.3,"607,253","104,385",17.2,"607,580","96,214",15.8,"610,936","90,056",14.7
284,South Carolina,Aiken,1,3,003,45,4,Aiken,"162,223","26,875",16.6,"163,135","29,497",18.1,"165,117","28,039",17.0,"165,738","24,465",14.8
285,South Carolina,Allendale,1,3,005,45,4,Allendale,"8,346","3,328",39.9,"8,081","3,312",41.0,"7,886","3,013",38.2,"7,889","2,892",36.7
286,South Carolina,Anderson,8,5,007,45,13,Anderson,"189,695","31,752",16.7,"191,268","32,807",17.2,"193,351","29,703",15.4,"195,615","28,083",14.4
287,South Carolina,Bamberg,0,4,009,45,4,Bamberg,"14,185","4,209",29.7,"13,871","4,534",32.7,"13,695","3,885",28.4,"13,682","3,631",26.5
288,South Carolina,Charleston,13,12,019,45,25,Charleston,"370,438","62,336",16.8,"378,449","56,459",14.9,"385,834","57,691",15.0,"390,420","51,780",13.3
289,South Carolina,Colleton,4,8,029,45,12,Colleton,"37,315","8,566",23.0,"37,234","8,601",23.1,"37,471","8,774",23.4,"37,150","8,325",22.4
290,South Carolina,Darlington,1,4,031,45,5,Darlington,"66,374","16,800",25.3,"66,059","14,194",21.5,"65,807","13,878",21.1,"65,808","14,391",21.9
291,South Carolina,Dorchester,0,4,035,45,4,Dorchester,"146,049","18,717",12.8,"149,981","20,380",13.6,"151,468","14,329",9.5,"154,146","15,362",10.0
292,South Carolina,Greenwood,0,4,047,45,4,Greenwood,"67,042","14,844",22.1,"67,399","12,878",19.1,"67,802","14,687",21.7,"67,918","12,431",18.3
293,South Carolina,Horry,4,22,051,45,26,Horry,"295,238","52,066",17.6,"305,303","50,839",16.7,"317,945","47,767",15.0,"328,751","52,862",16.1
294,South Carolina,Orangeburg,5,4,075,45,9,Orangeburg,"86,823","26,705",30.8,"85,855","20,575",24.0,"84,853","19,239",22.7,"84,364","20,595",24.4
295,South Carolina,Richland,0,16,079,45,16,Richland,"371,666","59,816",16.1,"375,636","59,495",15.8,"378,359","61,910",16.4,"380,408","64,234",16.9
296,South Dakota,Charles Mix,6,0,023,46,6,Charles Mix,"8,861","2,128",24.0,"8,956","2,088",23.3,"8,978","1,951",21.7,"8,978","2,238",24.9
297,South Dakota,Roberts,4,1,109,46,5,Roberts,"10,149","2,074",20.4,"10,087","2,017",20.0,"10,042","1,801",17.9,"10,029","1,763",17.6
298,Tennessee,Crockett,0,6,033,47,6,Crockett,"14,429","2,740",19.0,"14,367","2,743",19.1,"14,172","2,491",17.6,"14,241","2,525",17.7
299,Tennessee,Davidson,2,23,037,47,25,Davidson,"643,380","128,113",19.9,"653,237","111,678",17.1,"658,588","99,415",15.1,"665,606","97,343",14.6
300,Tennessee,Dyer,1,7,045,47,8,Dyer,"37,299","7,324",19.6,"37,269","8,374",22.5,"37,069","7,402",20.0,"36,845","6,360",17.3
301,Tennessee,Hamilton,10,19,065,47,29,Hamilton,"341,425","54,383",15.9,"344,737","52,287",15.2,"348,581","47,050",13.5,"352,276","44,007",12.5
302,Tennessee,Hardin,0,4,071,47,4,Hardin,"25,467","5,536",21.7,"25,359","5,760",22.7,"25,273","5,438",21.5,"25,450","4,753",18.7
303,Tennessee,Haywood,0,10,075,47,10,Haywood,"17,953","4,428",24.7,"17,797","4,009",22.5,"17,621","3,530",20.0,"17,351","3,573",20.6
304,Tennessee,Knox,1,4,093,47,5,Knox,"436,362","77,218",17.7,"439,239","68,679",15.6,"443,823","65,480",14.8,"449,727","62,320",13.9
305,Tennessee,Madison,0,4,113,47,4,Madison,"93,858","19,635",20.9,"93,321","16,874",18.1,"93,329","17,777",19.0,"93,361","16,341",17.5
306,Tennessee,Maury,0,5,119,47,5,Maury,"84,278","13,026",15.5,"86,541","11,432",13.2,"88,715","10,204",11.5,"90,935","9,474",10.4
307,Tennessee,Montgomery,2,17,125,47,19,Montgomery,"185,913","25,803",13.9,"189,494","25,378",13.4,"191,572","24,640",12.9,"195,906","25,124",12.8
308,Tennessee,Rutherford,0,5,149,47,5,Rutherford,"283,064","41,601",14.7,"293,052","32,601",11.1,"302,590","31,097",10.3,"311,520","31,372",10.1
309,Tennessee,Shelby,13,102,157,47,115,Shelby,"919,773","211,505",23.0,"919,589","186,186",20.2,"915,573","190,199",20.8,"918,282","173,777",18.9
310,Tennessee,Sullivan,4,6,163,47,10,Sullivan,"154,575","28,608",18.5,"154,362","25,241",16.4,"154,181","25,304",16.4,"154,737","24,258",15.7
