,Year,State,County,Incidents,Injured,Killed,Victims,Land Area,Density 2014,Density 2015,Density 2016,Density 2017,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017,Pop Change 1,Pop Change 1 (%),Pop Change 2,Pop Change 2 (%),Pop Change 3,Pop Change 3 (%),Pop Change Avg,Pop Change Avg (%),Den Change 1,Den Change 1 (%),Den Change 2,Den Change 2 (%),Den Change 3,Den Change 3 (%),Den Change Avg,Den Change Avg (%),Poverty Rate Change 1,Poverty Rate Change 1 (%),Poverty Rate Change 2,Poverty Rate Change 2 (%),Poverty Rate Change 3,Poverty Rate Change 3 (%),Poverty Rate Change Avg,Poverty Rate Change Avg (%),Region
20,2017,Alabama,Russell,1,12,0,12,74.78,272.9740572345546,281.5726129981278,283.9663011500401,283.44477132923237,58905.0,"12,309",20.9,58958.0,"13,575",23.0,57491.0,"11,108",19.3,56358.0,"13,078",23.2,53.0,0.08997538409303729,-1467.0,-2.4882119474880398,-1133.0,-99.8,-1791.6666666666667,-35.66490323006167,8.598555763573188,3.149953461029753,2.393688151912329,0.8501139817629308,-0.521529820807757,-0.18365905344951727,10.818400641882931,3.9388477583095116,2.1000000000000014,10.047846889952154,-3.6999999999999993,-16.086956521739125,3.8999999999999986,20.20725388601035,-0.29999999999999827,0.696641663549812,Southeast
21,2015,Alabama,Cherokee,1,1,3,4,62.39,70.84468664850138,75.47683923705722,74.96393652828979,74.35486456162846,25695.0,"4,768",18.6,25519.0,"4,961",19.4,25389.0,"4,273",16.8,25518.0,"4,381",17.2,-176.0,-0.6849581630667387,-130.0,-0.509424350483954,129.0,0.5080940564811556,-263.0,-1.0250178280569742,4.63215258855584,6.538461538461519,-0.5129027087674274,-0.6795497982586483,-0.6090719666613325,-0.812486636732956,3.916225890901302,5.588082861291885,0.7999999999999972,4.301075268817172,-2.599999999999998,-13.402061855670084,0.3999999999999986,2.3809523809523796,-1.6666666666666679,-8.30733579320212,Southeast
22,2014,Alabama,Madison,1,5,0,5,9.15,2453.4426229508194,2461.530054644809,2345.792349726776,2332.786885245901,342440.0,"48,750",14.2,345115.0,"45,877",13.3,348724.0,"47,081",13.5,352724.0,"44,979",12.8,2675.0,0.781158743137496,3609.0,1.0457383770627189,4000.0,1.1470389190305212,7617.333333333333,2.209243426543722,8.087431693989402,0.32963606396722867,-115.7377049180327,-4.701860320561195,-13.005464480875162,-0.5544166977264524,-111.98542805100169,-4.557029822502784,-0.8999999999999986,-6.3380281690140805,0.1999999999999993,1.5037593984962285,-0.6999999999999993,-5.185185185185176,-0.9333333333333323,-6.562663832246244,Southeast
23,2014,Alaska,Anchorage Municipality,1,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,West
24,2017,Arizona,Pinal,1,0,4,4,50.02,1070.7317073170732,1055.9176329468212,1098.3806477409037,1125.5097960815674,374630.0,"66,073",17.6,380330.0,"60,151",15.8,393485.0,"60,679",15.4,403619.0,"52,566",13.0,5700.0,1.5215012145316678,13155.0,3.4588383771987594,10134.0,2.5754476028311046,22233.0,5.838822126007462,-14.814074370252001,-1.3835468090668144,42.46301479408248,4.0214324933260315,0.0,0.0,27.64894042383048,2.637885684259217,-1.8000000000000007,-10.227272727272734,-0.40000000000000036,-2.5316455696202524,-2.4000000000000004,-15.584415584415595,-3.0000000000000013,-17.953723491698184,Southwest
25,2017,Arizona,Maricopa,4,15,1,16,9.46,3554.0169133192385,3571.7758985200844,3725.2642706131073,3715.4334038054967,4023019.0,"687,643",17.1,4103850.0,"667,637",16.3,4175417.0,"624,923",15.0,4239908.0,"570,402",13.5,80831.0,2.009212484455091,71567.0,1.7438990216503925,64491.0,1.5445403417191557,173895.0,4.267958286678535,17.758985200845927,0.4996876951905165,153.48837209302292,4.2972565035958326,-9.830866807610619,-0.2638971652336579,167.97040169133197,4.708978477041796,-0.8000000000000007,-4.67836257309942,-1.3000000000000007,-7.975460122699403,-1.5,-10.0,-2.6000000000000014,-15.987156029132157,Southwest
26,2015,Arizona,Coconino,1,3,1,4,884.06,47.96167680926635,47.69812003710157,49.21724769812004,50.69678528606656,127770.0,"27,154",21.3,128769.0,"25,133",19.5,130213.0,"23,116",17.8,130051.0,"23,946",18.4,999.0,0.7818736792674343,1444.0,1.12138791168681,-162.0,-99.8,2389.0,-31.36340507571242,-0.2635567721647831,-0.5495153416192977,1.519127661018473,3.1848795295010177,0.0,0.0,1.2555708888536898,2.63536418788172,-1.8000000000000007,-8.450704225352112,-1.6999999999999993,-8.717948717948715,0.5999999999999979,3.3707865168539115,-3.3000000000000007,-16.045057437682857,Southwest
27,2015,Arizona,Maricopa,4,11,9,20,9.46,3554.0169133192385,3571.7758985200844,3725.2642706131073,3715.4334038054967,4023019.0,"687,643",17.1,4103850.0,"667,637",16.3,4175417.0,"624,923",15.0,4239908.0,"570,402",13.5,80831.0,2.009212484455091,71567.0,1.7438990216503925,64491.0,1.5445403417191557,173895.0,4.267958286678535,17.758985200845927,0.4996876951905165,153.48837209302292,4.2972565035958326,-9.830866807610619,-0.2638971652336579,167.97040169133197,4.708978477041796,-0.8000000000000007,-4.67836257309942,-1.3000000000000007,-7.975460122699403,-1.5,-10.0,-2.6000000000000014,-15.987156029132157,Southwest
28,2015,Arizona,Pima,1,0,5,5,25.7,721.5953307392996,732.2568093385214,739.9221789883269,749.5719844357977,979212.0,"183,590",18.7,985659.0,"184,628",18.7,991827.0,"180,513",18.2,998103.0,"165,811",16.6,6447.0,0.6583865393806434,6168.0,0.6257742282067085,6276.0,0.6327716426352623,14707.0,1.4950846484657727,10.661478599221823,1.4774871933135785,7.665369649805484,1.046814389712523,0.0,0.0,18.326848249027307,2.5243015830261015,0.0,0.0,-0.5,-2.6737967914438485,-1.5999999999999979,-8.791208791208788,-1.0333333333333328,-5.604199721846777,Southwest
29,2014,Arizona,Maricopa,1,3,1,4,9.46,3554.0169133192385,3571.7758985200844,3725.2642706131073,3715.4334038054967,4023019.0,"687,643",17.1,4103850.0,"667,637",16.3,4175417.0,"624,923",15.0,4239908.0,"570,402",13.5,80831.0,2.009212484455091,71567.0,1.7438990216503925,64491.0,1.5445403417191557,173895.0,4.267958286678535,17.758985200845927,0.4996876951905165,153.48837209302292,4.2972565035958326,-9.830866807610619,-0.2638971652336579,167.97040169133197,4.708978477041796,-0.8000000000000007,-4.67836257309942,-1.3000000000000007,-7.975460122699403,-1.5,-10.0,-2.6000000000000014,-15.987156029132157,Southwest
