,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS,Density,Type,Population 2014,Population 2015,Population 2016,Population 2017,Land Area,Density 2014,Density 2015,Density 2016,Density 2017
72,2014-09-15,Orleans Parish,Louisiana,70126,30.06,-89.93,0,5,22,071,2371.37,Suburban,25224.0,25139.0,25972.0,26574.0,10.1,2497.4257425742576,2489.009900990099,2571.4851485148515,2631.0891089108914
73,2014-09-14,Nueces,Texas,78418,27.8,-97.39,3,1,48,355,686.9,Rural,30830.0,30415.0,30773.0,31120.0,43.44,709.7145488029466,700.1611418047883,708.4023941068141,716.390423572744
74,2014-09-14,Anchorage Municipality,Alaska,99501,61.22,-149.85,0,6,,,2536.46,Suburban,16976.0,17213.0,17130.0,17084.0,6.94,2446.109510086455,2480.2593659942363,2468.2997118155617,2461.6714697406337
75,2014-09-11,Wayne,Michigan,48223,42.38,-83.1,1,7,26,163,4185.0,Urban,24221.0,24122.0,24323.0,24035.0,6.05,4003.471074380165,3987.107438016529,4020.3305785123966,3972.727272727273
76,2014-09-06,Orange,Florida,32804,28.5,-81.37,0,4,12,095,2364.06,Suburban,16607.0,17565.0,17721.0,17848.0,7.35,2259.4557823129253,2389.795918367347,2411.0204081632655,2428.299319727891
77,2014-09-06,Bibb,Georgia,31201,32.83,-83.65,0,5,13,021,823.25,Rural,8721.0,8737.0,8774.0,8107.0,10.64,819.6428571428571,821.1466165413533,824.6240601503758,761.9360902255638
78,2014-09-04,Genesee,Michigan,48505,43.02,-83.69,0,5,26,049,2047.46,Suburban,22416.0,21938.0,21231.0,21086.0,12.56,1784.7133757961783,1746.656050955414,1690.3662420382166,1678.8216560509554
79,2014-09-03,Los Angeles,California,90011,34.0,-118.25,0,6,06,037,24239.85,Urban,102926.0,104058.0,104762.0,108051.0,4.29,23992.07459207459,24255.944055944055,24420.046620046618,25186.713286713286
80,2014-09-02,San Bernardino,California,92410,34.1,-117.27,0,5,06,071,6010.95,Urban,47510.0,48011.0,48660.0,46063.0,8.22,5779.805352798053,5840.7542579075425,5919.70802919708,5603.771289537713
81,2014-09-02,Hinds,Mississippi,39213,32.32,-90.2,2,3,28,049,777.25,Rural,22758.0,22590.0,21653.0,21318.0,28.72,792.4094707520892,786.5598885793872,753.9345403899722,742.2701949860724
82,2014-08-31,Alameda,California,94550,37.68,-121.75,0,5,06,001,201.41,Rural,48050.0,48663.0,50122.0,50646.0,232.73,206.4624242684656,209.09637777682295,215.36544493619218,217.6169810510033
83,2014-08-29,Hernando,Florida,34601,28.55,-82.39,3,1,12,053,183.47,Rural,21199.0,21410.0,21186.0,21946.0,121.74,174.13339904714968,175.86660095285035,174.0266140956136,180.26942664695252
84,2014-08-27,Wayne,Michigan,48205,42.38,-83.1,1,3,26,163,6900.36,Urban,37556.0,36834.0,35925.0,34620.0,6.38,5886.520376175548,5773.354231974921,5630.877742946708,5426.332288401254
85,2014-08-24,Cook,Illinois,60620,41.83,-87.68,1,3,17,031,10192.8,Urban,71907.0,69909.0,69299.0,69195.0,7.09,10142.031029619182,9860.225669957686,9774.188998589563,9759.520451339915
86,2014-08-24,Richmond,Georgia,30901,33.45,-81.99,1,3,13,245,800.67,Rural,16609.0,15977.0,15849.0,16461.0,20.54,808.6173320350536,777.8481012658228,771.6163583252192,801.4118792599805
87,2014-08-24,Los Angeles,California,91340,34.28,-118.44,3,4,06,037,10111.8,Urban,35455.0,35481.0,35681.0,35771.0,3.38,10489.644970414201,10497.33727810651,10556.508875739646,10583.136094674557
88,2014-08-20,Shelby,Tennessee,38127,35.1,-90.0,0,5,47,157,1203.92,Suburban,44632.0,43729.0,44131.0,44943.0,37.58,1187.6530069185737,1163.6242682277807,1174.3214475784991,1195.9286854709953
89,2014-08-18,St. Martin Parish,Louisiana,70582,30.12,-91.83,0,4,22,099,137.64,Rural,19400.0,19391.0,18988.0,19562.0,143.71,134.99408531069514,134.9314591886438,132.1272006123443,136.1213555076195
90,2014-08-17,Queens,New York,11434,40.68,-73.78,0,4,36,081,18260.96,Urban,65255.0,65892.0,66279.0,66725.0,3.24,20140.432098765432,20337.037037037036,20456.48148148148,20594.135802469136
